          ordinal hint RVA      name
        590  24D 00095030 vlc_mrand48
        591  24E 000AECF0 vlc_mutex_destroy
        592  24F 000AECB0 vlc_mutex_init
        593  250 000AECD0 vlc_mutex_init_recursive
        594  251 000AED00 vlc_mutex_lock
        595  252 000AEDA0 vlc_mutex_trylock
        596  253 000AEE00 vlc_mutex_unlock
        597  254 0009BE60 vlc_mwait_i11e
        598  255 0001DFB0 vlc_ngettext
        599  256 000A3930 vlc_obj_calloc
        600  257 000A39B0 vlc_obj_free
        601  258 000A38D0 vlc_obj_malloc
        602  259 000A2FE0 vlc_object_create
        603  25A 000A3280 vlc_object_find_name
        604  25B 000A3240 vlc_object_get_name
        605  25C 000A3330 vlc_object_hold
        606  25D 000A3340 vlc_object_release
        607  25E 000AD0C0 vlc_open
        608  25F 000AD240 vlc_openat
        609  260 000AD420 vlc_opendir
        610  261 00090F90 vlc_path2uri
        611  262 000ADBA0 vlc_pipe
        612  263 0009C080 vlc_poll_i11e
        613  264 000AE2F0 vlc_rand_bytes
        614  265 0009DC40 vlc_rd_get_names
        615  266 0009DF20 vlc_rd_new
        616  267 0009DBB0 vlc_rd_probe_add
        617  268 0009DEF0 vlc_rd_release
        618  269 0009C260 vlc_read_i11e
        619  26A 000AD5A0 vlc_readdir
        620  26B 00036790 vlc_readdir_helper_additem
        621  26C 00036680 vlc_readdir_helper_finish
        622  26D 00036460 vlc_readdir_helper_init
        623  26E 0009C260 vlc_readv_i11e
        624  26F 0009C280 vlc_recvfrom_i11e
        625  270 0009C280 vlc_recvmsg_i11e
        626  271 000AD9B0 vlc_rename
        627  272 0009DB30 vlc_renderer_item_demux_filter
        628  273 0009DB40 vlc_renderer_item_flags
        629  274 0009DB50 vlc_renderer_item_hold
        630  275 0009DB20 vlc_renderer_item_icon_uri
        631  276 0009DAF0 vlc_renderer_item_name
        632  277 0009D8C0 vlc_renderer_item_new
        633  278 0009DB60 vlc_renderer_item_release
        634  279 0009DB10 vlc_renderer_item_sout
        635  27A 0009DB00 vlc_renderer_item_type
        636  27B 000AF570 vlc_restorecancel
        637  27C 00083B70 vlc_rtsp_HostNew
        638  27D 0009E360 vlc_rwlock_destroy
        639  27E 0009E330 vlc_rwlock_init
        640  27F 0009E370 vlc_rwlock_rdlock
        641  280 0009E4D0 vlc_rwlock_unlock
        642  281 0009E420 vlc_rwlock_wrlock
        643  282 000AF540 vlc_savecancel
        644  283 000921A0 vlc_scandir
        645  284 0005ACF0 vlc_sd_Create
        646  285 0005ADF0 vlc_sd_Destroy
        647  286 0005A960 vlc_sd_GetNames
